"","app.site_name","app.Primary.Agency.Type.","app.yoy","interview.yoy","interns.yoy","app_cr","inter_cr"
"16","American University","University Counseling Center",140,24,4,0.17,0.17
"22","Appalachian State University","University Counseling Center",115,36,3,0.31,0.08
"27","Arizona State University","University Counseling Center",110,38,3,0.35,0.08
"36","Ball State University","University Counseling Center",77,44,3,0.57,0.07
"38","Baruch College, City University of New York","University Counseling Center",84,84,2,1,0.02
"44","Baylor University Counseling Center","University Counseling Center",18,10,2,0.56,0.2
"47","Biola University","University Counseling Center",34,16,4,0.47,0.25
"50","Bowling Green State University","University Counseling Center",79,38,4,0.48,0.11
"53","Brigham Young University","University Counseling Center",40,23,4,0.57,0.17
"58","Butler University","University Counseling Center",108,24,3,0.22,0.12
"63","California State University San Marcos","University Counseling Center",27,16,2,0.59,0.12
"64","California State University, Fullerton Counseling and Psychological Services","University Counseling Center",134,36,3,0.27,0.08
"65","California State University, Long Beach","University Counseling Center",142,32,3,0.23,0.09
"66","California State University, Northridge","University Counseling Center",136,33,3,0.24,0.09
"74","Case Western Reserve University","University Counseling Center",36,24,2,0.67,0.08
"83","Central Washington University","University Counseling Center",70,30,2,0.43,0.07
"108","Clemson University","University Counseling Center",67,34,3,0.51,0.09
"109","Cleveland State University","University Counseling Center",44,20,2,0.45,0.1
"112","College of William and Mary Counseling Center","University Counseling Center",190,52,4,0.27,0.08
"117","Colorado State University","University Counseling Center",106,43,4,0.41,0.09
"143","Drexel Univeristy","University Counseling Center",41,22,2,0.54,0.09
"144","Duke University","University Counseling Center",123,40,3,0.33,0.08
"156","Emory University  Counseling and Psychological Services","University Counseling Center",98,32,3,0.33,0.09
"172","Florida Atlantic University","University Counseling Center",41,24,2,0.59,0.08
"175","Florida Gulf Coast University CAPS","University Counseling Center",56,28,3,0.5,0.11
"176","Florida International University","University Counseling Center",105,30,4,0.29,0.13
"179","Florida State University","University Counseling Center",62,32,4,0.52,0.12
"188","George Mason University","University Counseling Center",22,14,2,0.64,0.14
"190","Georgia Southern University","University Counseling Center",27,14,2,0.52,0.14
"191","Georgia State University","University Counseling Center",81,20,3,0.25,0.15
"192","Georgia Tech Counseling Center","University Counseling Center",72,22,3,0.31,0.14
"196","Grand Valley State University","University Counseling Center",89,44,4,0.49,0.09
"225","Howard University","University Counseling Center",80,40,3,0.5,0.08
"231","Illinois State University","University Counseling Center",69,30,4,0.43,0.13
"233","Indiana University","University Counseling Center",78,25,3,0.32,0.12
"241","Iowa State University","University Counseling Center",95,38,4,0.4,0.11
"242","IUPUI","University Counseling Center",32,15,2,0.47,0.13
"246","James Madison University","University Counseling Center",88,19,2,0.22,0.11
"254","Johns Hopkins University","University Counseling Center",116,26,4,0.22,0.15
"260","Kansas State University","University Counseling Center",96,42,4,0.44,0.1
"261","Keene State College","University Counseling Center",28,7,2,0.25,0.29
"268","Lake Forest College","University Counseling Center",66,16,2,0.24,0.12
"272","Lehigh University","University Counseling Center",42,18,2,0.43,0.11
"303","Memorial University of Newfoundland","University Counseling Center",25,19,3,0.76,0.16
"312","Miami University Student Counseling Service","University Counseling Center",59,36,4,0.61,0.11
"315","Michigan State University","University Counseling Center",81,31,4,0.38,0.13
"325","Montana State University, Bozeman","University Counseling Center",94,33,3,0.35,0.09
"345","New Mexico State University","University Counseling Center",80,22,4,0.28,0.18
"353","North Carolina State University","University Counseling Center",33,12,3,0.36,0.25
"359","Northern Illinois University","University Counseling Center",95,31,3,0.33,0.1
"362","Northwestern University","University Counseling Center",123,30,3,0.24,0.1
"364","Norwich University","University Counseling Center",27,11,2,0.41,0.18
"370","Ohio State University","University Counseling Center",128,38,5,0.3,0.13
"372","Ohio University, Counseling and Psychological Services,","University Counseling Center",27,20,3,0.74,0.15
"378","Oregon State University","University Counseling Center",141,36,4,0.26,0.11
"381","Pace University","University Counseling Center",162,24,4,0.15,0.17
"393","Pennsylvania State University","University Counseling Center",138,39,4,0.28,0.1
"400","Portland State University","University Counseling Center",56,23,2,0.41,0.09
"408","Purdue University","University Counseling Center",81,38,3,0.47,0.08
"421","Rutgers Health Services - CAPS","University Counseling Center",148,40,4,0.27,0.1
"429","Santa Ana College","University Counseling Center",53,26,3,0.49,0.12
"430","Santa Clara University","University Counseling Center",55,12,2,0.22,0.17
"451","Southern Illinois University","University Counseling Center",183,66,6,0.36,0.09
"453","Southern Utah University","University Counseling Center",51,20,2,0.39,0.1
"463","Stanford University","University Counseling Center",141,28,3,0.2,0.11
"465","State University of New York at Albany","University Counseling Center",163,41,3,0.25,0.07
"466","State University of New York at Buffalo","University Counseling Center",104,38,3,0.37,0.08
"467","State University of New York at Oneonta (SUNY Oneonta)","University Counseling Center",32,14,2,0.44,0.14
"469","Stony Brook University of New York","University Counseling Center",100,34,4,0.34,0.12
"470","Suffolk University","University Counseling Center",98,30,3,0.31,0.1
"477","Temple University","University Counseling Center",108,31,4,0.29,0.13
"481","Texas A&M University","University Counseling Center",154,33,4,0.21,0.12
"484","Texas State University","University Counseling Center",64,24,3,0.38,0.12
"485","Texas Tech University","University Counseling Center",54,24,4,0.44,0.17
"486","Texas Woman's University","University Counseling Center",66,27,3,0.41,0.11
"488","The Catholic University of America","University Counseling Center",96,26,3,0.27,0.12
"495","The George Washington University","University Counseling Center",30,14,2,0.47,0.14
"507","The University of Tennessee-Knoxville","University Counseling Center",110,32,4,0.29,0.12
"508","The University of Texas at Austin","University Counseling Center",136,38,4,0.28,0.11
"514","Towson University","University Counseling Center",112,25,3,0.22,0.12
"524","UNC-Charlotte","University Counseling Center",88,29,3,0.33,0.1
"528","University of Akron","University Counseling Center",79,32,3,0.41,0.09
"530","University of California - Los Angeles","University Counseling Center",176,36,4,0.2,0.11
"532","University of California, Berkeley","University Counseling Center",144,43,3,0.3,0.07
"533","University of California, Davis","University Counseling Center",152,34,4,0.22,0.12
"535","University of California, Irvine","University Counseling Center",140,30,4,0.21,0.13
"536","University of California, Riverside","University Counseling Center",61,22,3,0.36,0.14
"538","University of California, Santa Barbara","University Counseling Center",130,32,3,0.25,0.09
"539","University of California, Santa Cruz","University Counseling Center",104,32,3,0.31,0.09
"540","University of Central Florida (UCF)","University Counseling Center",82,27,3,0.33,0.11
"543","University of Connecticut","University Counseling Center",54,23,3,0.43,0.13
"544","University of Delaware","University Counseling Center",120,26,4,0.22,0.15
"545","University of Florida","University Counseling Center",128,36,5,0.28,0.14
"547","University of Hawaii at Manoa","University Counseling Center",102,24,3,0.24,0.12
"548","University of Houston","University Counseling Center",94,32,4,0.34,0.12
"549","University of Houston- Clear Lake; Counseling Services","University Counseling Center",87,40,3,0.46,0.08
"550","University of Idaho","University Counseling Center",152,46,4,0.3,0.09
"551","University of Illinois @ Urbana-Champaign","University Counseling Center",106,39,4,0.37,0.1
"552","University of Illinois at Chicago","University Counseling Center",140,40,4,0.29,0.1
"554","University of Iowa","University Counseling Center",60,31,3,0.52,0.1
"555","University of Kansas","University Counseling Center",58,25,3,0.43,0.12
"557","University of Kentucky","University Counseling Center",59,25,3,0.42,0.12
"559","University of Maine","University Counseling Center",60,24,3,0.4,0.12
"560","University of Manitoba","University Counseling Center",22,18,2,0.82,0.11
"562","University of Maryland","University Counseling Center",118,37,4,0.31,0.11
"563","University of Maryland, Baltimore County (UMBC)","University Counseling Center",135,32,2,0.24,0.06
"564","University of Massachusetts","University Counseling Center",76,23,3,0.3,0.13
"565","University of Memphis","University Counseling Center",68,35,4,0.51,0.11
"566","University of Miami","University Counseling Center",110,35,3,0.32,0.09
"568","University of Michigan","University Counseling Center",94,35,3,0.37,0.09
"570","University of Minnesota","University Counseling Center",85,32,4,0.38,0.12
"573","University of Missouri","University Counseling Center",70,38,4,0.54,0.11
"574","University of Missouri-Kansas City","University Counseling Center",65,30,2,0.46,0.07
"575","University of Nebraska-Lincoln","University Counseling Center",35,22,2,0.63,0.09
"576","University of New Hampshire","University Counseling Center",77,38,3,0.49,0.08
"578","University of North Carolina at Chapel Hill","University Counseling Center",107,40,4,0.37,0.1
"580","University of North Dakota","University Counseling Center",58,20,3,0.34,0.15
"581","University of Northern Colorado Counseling Center","University Counseling Center",55,24,3,0.44,0.12
"582","University of Notre Dame","University Counseling Center",166,36,3,0.22,0.08
"583","University of Oregon","University Counseling Center",110,34,4,0.31,0.12
"585","University of Pennsylvania","University Counseling Center",137,40,5,0.29,0.12
"586","University of Pittsburgh","University Counseling Center",211,29,4,0.14,0.14
"587","University of Puget Sound","University Counseling Center",64,21,3,0.33,0.14
"589","University of San Diego","University Counseling Center",224,36,3,0.16,0.08
"590","University of San Francisco","University Counseling Center",129,28,5,0.22,0.18
"591","University of South Carolina","University Counseling Center",83,24,4,0.29,0.17
"592","University of South Florida","University Counseling Center",82,27,4,0.33,0.15
"593","University of Southern California","University Counseling Center",128,30,4,0.23,0.13
"594","University of St. Thomas","University Counseling Center",72,24,3,0.33,0.12
"596","University of Texas at Dallas","University Counseling Center",69,24,3,0.35,0.12
"600","University of the Pacific","University Counseling Center",70,22,3,0.31,0.14
"601","University of Utah","University Counseling Center",67,34,4,0.51,0.12
"602","University of Virginia","University Counseling Center",89,24,3,0.27,0.12
"603","University of Washington Counseling Center","University Counseling Center",114,30,3,0.26,0.1
"605","University of Washington Tacoma","University Counseling Center",52,20,2,0.38,0.1
"607","University of Wisconsin - Madison Counseling & Mental Health Services","University Counseling Center",86,40,4,0.47,0.1
"608","University of Wisconsin- Whitewater","University Counseling Center",7,6,2,0.86,0.33
"611","Utah State University","University Counseling Center",98,30,4,0.31,0.13
"612","Utah Valley University","University Counseling Center",27,12,2,0.44,0.17
"662","Virginia Commonwealth University","University Counseling Center",100,46,4,0.46,0.09
"663","Virginia Tech","University Counseling Center",136,38,4,0.28,0.11
"670","Washington State University","University Counseling Center",92,44,4,0.48,0.09
"673","West Virginia University","University Counseling Center",69,30,3,0.43,0.1
"678","Western Carolina University","University Counseling Center",42,24,2,0.57,0.08
"683","Western Washington University","University Counseling Center",46,26,4,0.57,0.15
